[Block Diagram].[time];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A1].[Position & orientation reader].[Sout].[zz];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A2].[Position & orientation reader].[Sout].[zz];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A3].[Position & orientation reader].[Sout].[zz];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A4].[Position & orientation reader].[Sout].[zz];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A5].[Position & orientation reader].[Sout].[zz];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Pout].[x];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Pout].[y];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Pout].[z];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[xx];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[xy];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[xz];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[yx];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[yy];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[yz];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[zx];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[zy];[Block Diagram].[ComauRacer].[A6].[Position & orientation reader].[Sout].[zz]
+1.369000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.682846e-01;-1.283271e-01;+4.791806e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.740314e-01;+7.005890e-02;+8.777163e-01;-1.093043e+00;-1.126634e+00;+9.478528e-01;-9.891939e-01;-1.461967e-01;-1.104771e-02;+1.462056e-01;-9.892542e-01;+8.117635e-22;-1.092899e-02;-1.615237e-03;+9.999390e-01;-9.956545e-01;-1.112240e+00;+1.079028e+00;-9.891939e-01;-1.461967e-01;-1.104771e-02;-8.590020e-03;-1.743150e-02;+9.998112e-01;-1.463617e-01;+9.891020e-01;+1.598730e-02;-4.180355e-01;-1.026366e+00;+1.085486e+00;-8.970183e-01;+4.419934e-01;-7.945293e-07;-8.590020e-03;-1.743150e-02;+9.998112e-01;+4.419100e-01;+8.968489e-01;+1.943311e-02;-3.283159e-01;-1.070529e+00;+1.085477e+00;-2.376969e-06;+1.274419e-06;-1.000000e+00;+4.419934e-01;+8.970183e-01;+9.257286e-08;+8.970183e-01;-4.419934e-01;-2.695470e-06
+1.370000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.692862e-01;-1.284751e-01;+4.773213e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.721921e-01;+6.978706e-02;+8.787288e-01;-1.094129e+00;-1.126794e+00;+9.484502e-01;-9.892500e-01;-1.462050e-01;-2.909460e-03;+1.462056e-01;-9.892542e-01;+8.086138e-22;-2.878195e-03;-4.253794e-04;+9.999958e-01;-9.956868e-01;-1.112245e+00;+1.078820e+00;-9.892500e-01;-1.462050e-01;-2.909460e-03;-2.262685e-03;-4.589861e-03;+9.999869e-01;-1.462164e-01;+9.892437e-01;+4.209704e-03;-4.180349e-01;-1.026366e+00;+1.080519e+00;-8.970182e-01;+4.419936e-01;-9.806127e-07;-2.262685e-03;-4.589861e-03;+9.999869e-01;+4.419878e-01;+8.970065e-01;+5.117281e-03;-3.283154e-01;-1.070529e+00;+1.080509e+00;-2.252533e-06;+1.107340e-06;-1.000000e+00;+4.419936e-01;+8.970182e-01;-2.301118e-09;+8.970182e-01;-4.419936e-01;-2.510000e-06
+1.371000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.702388e-01;-1.286159e-01;+4.755444e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.704343e-01;+6.952726e-02;+8.796917e-01;-1.095166e+00;-1.126948e+00;+9.490183e-01;-9.892408e-01;-1.462036e-01;+5.208039e-03;+1.462056e-01;-9.892542e-01;+8.056035e-22;+5.152075e-03;+7.614445e-04;+9.999864e-01;-9.956803e-01;-1.112244e+00;+1.078576e+00;-9.892408e-01;-1.462036e-01;+5.208039e-03;+4.049574e-03;+8.220153e-03;+9.999580e-01;-1.462403e-01;+9.892204e-01;-7.539649e-03;-4.180338e-01;-1.026366e+00;+1.075529e+00;-8.970180e-01;+4.419940e-01;-7.174559e-07;+4.049574e-03;+8.220153e-03;+9.999580e-01;+4.419754e-01;+8.969803e-01;-9.163513e-03;-3.283144e-01;-1.070530e+00;+1.075518e+00;-2.780399e-06;+6.312035e-07;-1.000000e+00;+4.419940e-01;+8.970180e-01;-6.627187e-07;+8.970180e-01;-4.419940e-01;-2.773056e-06
+1.372000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.711428e-01;-1.287495e-01;+4.738500e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.687581e-01;+6.927953e-02;+8.806056e-01;-1.096155e+00;-1.127094e+00;+9.495574e-01;-9.891669e-01;-1.461927e-01;+1.328680e-02;+1.462056e-01;-9.892542e-01;+8.027331e-22;+1.314402e-02;+1.942605e-03;+9.999117e-01;-9.956370e-01;-1.112237e+00;+1.078299e+00;-9.891669e-01;-1.461927e-01;+1.328680e-02;+1.032997e-02;+2.096620e-02;+9.997268e-01;-1.464313e-01;+9.890339e-01;-1.922890e-02;-4.180338e-01;-1.026366e+00;+1.070528e+00;-8.970180e-01;+4.419940e-01;-7.635080e-07;+1.032997e-02;+2.096620e-02;+9.997268e-01;+4.418733e-01;+8.967729e-01;-2.337284e-02;-3.283144e-01;-1.070530e+00;+1.070516e+00;-2.345659e-06;+1.407481e-06;-1.000000e+00;+4.419941e-01;+8.970179e-01;+2.257679e-07;+8.970179e-01;-4.419941e-01;-2.726197e-06
+1.373000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.719963e-01;-1.288756e-01;+4.722431e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.671685e-01;+6.904459e-02;+8.814683e-01;-1.097093e+00;-1.127232e+00;+9.500665e-01;-9.890295e-01;-1.461724e-01;+2.131584e-02;+1.462056e-01;-9.892542e-01;+8.000109e-22;+2.108678e-02;+3.116495e-03;+9.997728e-01;-9.955554e-01;-1.112225e+00;+1.077988e+00;-9.890295e-01;-1.461724e-01;+2.131584e-02;+1.656772e-02;+3.362392e-02;+9.992972e-01;-1.467864e-01;+9.886875e-01;-3.083331e-02;-4.180327e-01;-1.026366e+00;+1.065522e+00;-8.970181e-01;+4.419938e-01;-1.520421e-08;+1.656772e-02;+3.362392e-02;+9.992972e-01;+4.416831e-01;+8.963877e-01;-3.748410e-02;-3.283134e-01;-1.070530e+00;+1.065510e+00;-2.991180e-06;+1.787036e-06;-1.000000e+00;+4.419939e-01;+8.970181e-01;+2.809206e-07;+8.970181e-01;-4.419939e-01;-3.473001e-06
+1.374000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.728022e-01;-1.289947e-01;+4.707193e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.656611e-01;+6.882181e-02;+8.822830e-01;-1.097982e+00;-1.127364e+00;+9.505471e-01;-9.888298e-01;-1.461429e-01;+2.928942e-02;+1.462056e-01;-9.892542e-01;+7.974296e-22;+2.897468e-02;+4.282277e-03;+9.995710e-01;-9.954387e-01;-1.112208e+00;+1.077646e+00;-9.888298e-01;-1.461429e-01;+2.928942e-02;+2.275560e-02;+4.618194e-02;+9.986738e-01;-1.473017e-01;+9.881849e-01;-4.234051e-02;-4.180328e-01;-1.026366e+00;+1.060517e+00;-8.970183e-01;+4.419934e-01;+7.765858e-08;+2.275560e-02;+4.618194e-02;+9.986738e-01;+4.414072e-01;+8.958287e-01;-5.148387e-02;-3.283136e-01;-1.070530e+00;+1.060505e+00;-2.525267e-06;+2.937774e-06;-1.000000e+00;+4.419935e-01;+8.970182e-01;+1.519086e-06;+8.970182e-01;-4.419935e-01;-3.563688e-06
+1.375000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.735601e-01;-1.291067e-01;+4.692805e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.642377e-01;+6.861144e-02;+8.830492e-01;-1.098822e+00;-1.127488e+00;+9.509992e-01;-9.885690e-01;-1.461044e-01;+3.721230e-02;+1.462056e-01;-9.892542e-01;+7.949920e-22;+3.681242e-02;+5.440647e-03;+9.993074e-01;-9.952850e-01;-1.112185e+00;+1.077272e+00;-9.885690e-01;-1.461044e-01;+3.721230e-02;+2.889532e-02;+5.864082e-02;+9.978609e-01;-1.479740e-01;+9.875296e-01;-5.374877e-02;-4.180318e-01;-1.026366e+00;+1.055511e+00;-8.970178e-01;+4.419944e-01;+7.003341e-07;+2.889532e-02;+5.864082e-02;+9.978609e-01;+4.410489e-01;+8.950990e-01;-6.537343e-02;-3.283126e-01;-1.070531e+00;+1.055498e+00;-4.483934e-06;+3.650672e-07;-1.000000e+00;+4.419946e-01;+8.970177e-01;-1.654403e-06;+8.970177e-01;-4.419946e-01;-4.183526e-06
+1.376000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.742729e-01;-1.292121e-01;+4.679221e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.628939e-01;+6.841284e-02;+8.837697e-01;-1.099614e+00;-1.127605e+00;+9.514243e-01;-9.882484e-01;-1.460570e-01;+4.508228e-02;+1.462056e-01;-9.892542e-01;+7.926909e-22;+4.459783e-02;+6.591282e-03;+9.989833e-01;-9.950971e-01;-1.112158e+00;+1.076869e+00;-9.882484e-01;-1.460570e-01;+4.508228e-02;+3.498289e-02;+7.099334e-02;+9.968632e-01;-1.487993e-01;+9.867255e-01;-6.504956e-02;-4.180316e-01;-1.026367e+00;+1.050506e+00;-8.970180e-01;+4.419940e-01;+1.663895e-06;+3.498289e-02;+7.099334e-02;+9.968632e-01;+4.406074e-01;+8.942043e-01;-7.914453e-02;-3.283125e-01;-1.070531e+00;+1.050492e+00;-4.576053e-06;+2.350262e-06;-1.000000e+00;+4.419942e-01;+8.970179e-01;+8.563839e-08;+8.970179e-01;-4.419942e-01;-5.143604e-06
+1.377000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.749418e-01;-1.293109e-01;+4.666429e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.616285e-01;+6.822581e-02;+8.844458e-01;-1.100361e+00;-1.127715e+00;+9.518232e-01;-9.878690e-01;-1.460009e-01;+5.290066e-02;+1.462056e-01;-9.892542e-01;+7.905238e-22;+5.233220e-02;+7.734374e-03;+9.985998e-01;-9.948756e-01;-1.112125e+00;+1.076437e+00;-9.878690e-01;-1.460009e-01;+5.290066e-02;+4.101663e-02;+8.324146e-02;+9.956849e-01;-1.497744e-01;+9.857761e-01;-7.624320e-02;-4.180320e-01;-1.026367e+00;+1.045502e+00;-8.970183e-01;+4.419935e-01;+4.872133e-07;+4.101663e-02;+8.324146e-02;+9.956849e-01;+4.400862e-01;+8.931476e-01;-9.279819e-02;-3.283130e-01;-1.070532e+00;+1.045488e+00;-3.598973e-06;+1.661709e-06;-1.000000e+00;+4.419938e-01;+8.970181e-01;-1.001405e-07;+8.970181e-01;-4.419938e-01;-3.962809e-06
+1.378000e+01;-1.521110e+00;-1.189900e+00;-4.768370e-07;-9.892542e-01;-1.462056e-01;+0.000000e+00;+1.462056e-01;-9.892542e-01;+0.000000e+00;+0.000000e+00;+0.000000e+00;+1.000000e+00;-1.359563e+00;-1.257001e+00;+4.300000e-01;-8.755670e-01;-1.294033e-01;+4.654431e-01;+1.462056e-01;-9.892542e-01;+0.000000e+00;+4.604415e-01;+6.805039e-02;+8.850778e-01;-1.101061e+00;-1.127819e+00;+9.521961e-01;-9.874318e-01;-1.459363e-01;+6.067225e-02;+1.462056e-01;-9.892542e-01;+7.884912e-22;+6.002028e-02;+8.870623e-03;+9.981577e-01;-9.946195e-01;-1.112087e+00;+1.075976e+00;-9.874318e-01;-1.459363e-01;+6.067225e-02;+4.699919e-02;+9.538259e-02;+9.943305e-01;-1.508960e-01;+9.846851e-01;-8.732492e-02;-4.180319e-01;-1.026368e+00;+1.040497e+00;-8.970185e-01;+4.419929e-01;+7.126407e-07;+4.699919e-02;+9.538259e-02;+9.943305e-01;+4.394870e-01;+8.919330e-01;-1.063333e-01;-3.283130e-01;-1.070532e+00;+1.040483e+00;-3.651912e-06;+2.053600e-06;-1.000000e+00;+4.419933e-01;+8.970184e-01;+2.279963e-07;+8.970184e-01;-4.419933e-01;-4.183509e-06
